# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4720044081536
#
# Overhead  Command         Shared Object          Symbol                                  
# ........  ..............  .....................  ........................................
#
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2b5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2fa
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818019da
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810490cc
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8104910a
     0.00%  benchmark-blas  libblis.so             [.] bli_obj_scalar_detach@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817daea2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81800005
     0.00%  benchmark-blas  libblis.so             [.] bli_obj_scalar_init_detached@plt
     0.00%  benchmark-blas  libblis.so             [.] bli_stack_get@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff816423b9
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801229
     0.00%  benchmark-blas  libblis.so             [.] bli_pool_checkout_block
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8107aec0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8146e227
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818019d5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db827
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810490e8
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8107aec5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b2d23
     0.00%  benchmark-blas  libblis.so             [.] bli_determine_blocksize
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8164a3a6
     0.00%  benchmark-blas  libblis.so             [.] bli_error_checking_level@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801265
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c195
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2e9
     0.00%  benchmark-blas  libblis.so             [.] bli_check_null_pointer
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db820
     0.00%  benchmark-blas  libblis.so             [.] bli_check_error_code_helper@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818012e0
     0.00%  benchmark-blas  libblis.so             [.] bli_thrinfo_free
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b2d34
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c187
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818001ea
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801241
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8104fa49
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8107aed0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8164a3ae
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81904108
     0.00%  benchmark-blas  libblis.so             [.] bli_sba_acquire
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801460
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db7d0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801262
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d8ab3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eacbd
     0.00%  benchmark-blas  libblis.so             [.] bli_pthread_mutex_lock
     0.00%  benchmark-blas  libblis.so             [.] bli_mulsc_check
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801235
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801083
     0.00%  benchmark-blas  libblis.so             [.] bli_gemm_blk_var2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db869
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b54ed
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dc3e8
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810aa559
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a9fd
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810eade5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b5566
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eaca0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db867
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810490c0
