# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c187
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8180199d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db869
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81904108
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eacbd
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a942
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_runtime_resolve_xsavec
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817dad71
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111da9b
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111dabe
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810fda88
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111dbe5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b5b13
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81120949
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817ea9ee
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110b8a2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2b7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801234
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eae69
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eade5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111dbe7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b81f5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817ea9e5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81025740
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2e9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8116bed9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2b0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110b88c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8142155e
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818019d0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8101cdf9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801231
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110e6d5
