# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:u'
# Event count (approx.): 4982579087577
#
# Overhead  Command         Shared Object             Symbol                                                                                 
# ........  ..............  ........................  .......................................................................................
#
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::copy
     0.00%  benchmark-blas  libiomp5.so               [.] _INTERNAL3fdfdb8b::rml::internal::internalPoolMalloc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812943f8
     0.00%  benchmark-blas  libiomp5.so               [.] rml::internal::Backend::requestBootstrapMem
     0.00%  benchmark-blas  libmkl_core.so.2          [.] mkl_serv_cpu_detect
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81120949
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812cc2ec
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812b6f31
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105ec4d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e6b90
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e85e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800eb9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b1142
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e6c34
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eac5b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9f1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eac6e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180199a
     0.00%  benchmark-blas  libc-2.31.so              [.] __memset_avx2_unaligned_erms
     0.00%  benchmark-blas  libc-2.31.so              [.] sysmalloc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812555b6
     0.00%  benchmark-blas  libiomp5.so               [.] _INTERNAL9a1d8470::__kmp_affinity_create_x2apicid_map
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810a9685
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105ea2c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812758d8
     0.00%  benchmark-blas  libc-2.31.so              [.] syscall
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81232565
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::zero
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812556eb
     0.00%  benchmark-blas  libiomp5.so               [.] _intel_fast_memset
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e46c5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e743f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810a96a0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81424841
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8146e8f5
     0.00%  benchmark-blas  libmkl_core.so.2          [.] mkl_blas_dgemm_blk_info_hi_thr_bdz
     0.00%  benchmark-blas  libiomp5.so               [.] scalable_aligned_malloc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810aa874
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::set_system_affinity
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8146e8e3
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::allocate_mask
     0.00%  benchmark-blas  libiomp5.so               [.] __kmp_affinity_set_place
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7ef6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cec5a
     0.00%  benchmark-blas  libiomp5.so               [.] ___kmp_allocate
     0.00%  benchmark-blas  libc-2.31.so              [.] pthread_self
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2fc1
     0.00%  benchmark-blas  libiomp5.so               [.] __kmp_x86_cpuid
     0.00%  benchmark-blas  ld-2.31.so                [.] __GI___tunables_init
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cec45
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2eb5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81021895
     0.00%  benchmark-blas  libmkl_intel_thread.so.2  [.] mkl_blas_dgemm_omp_get_prototype
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b31d0
     0.00%  benchmark-blas  libiomp5.so               [.] __kmp_affinity_bind_thread
     0.00%  benchmark-blas  libmkl_core.so.2          [.] mkl_blas_dgemm_get_bufs_size
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b31a5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810aa855
     0.00%  benchmark-blas  libiomp5.so               [.] __kmpc_bound_num_threads
     0.00%  benchmark-blas  libc-2.31.so              [.] msort_with_tmp.part.0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2ebd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cec4e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2eec
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2ee9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8142486b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81424871
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cafc5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2eb7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2f86
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::next
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81146136
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b887e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b8abe
     0.00%  benchmark-blas  libiomp5.so               [.] scalable_aligned_free
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8111fb28
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81121032
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81123896
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8111fb8d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8111fc57
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810aa870
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::is_set
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::bind_thread
     0.00%  benchmark-blas  libiomp5.so               [.] rml::internal::getSmallObjectIndex
     0.00%  benchmark-blas  libiomp5.so               [.] ___kmp_free
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2f20
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8141916f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81418f40
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813caf45
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::deallocate_mask
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cec6c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810a9680
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81418f61
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2ec5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813cec69
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::~Mask
     0.00%  benchmark-blas  libiomp5.so               [.] KMPNativeAffinity::Mask::end
     0.00%  benchmark-blas  libiomp5.so               [.] KMPAffinity::Mask::operator new
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8120d975
     0.00%  benchmark-blas  libiomp5.so               [.] KMPAffinity::Mask::operator delete
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac535
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff813caf4f
     0.00%  benchmark-blas  libiomp5.so               [.] rml::internal::Block::adjustPositionInBin
     0.00%  benchmark-blas  ld-2.31.so                [.] _dl_start
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8146b9ed


#
# (Cannot load tips.txt file, please install perf!)
#
