# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:u'
# Event count (approx.): 3514307423429
#
# Overhead  Command         Shared Object             Symbol                                                                                                    
# ........  ..............  ........................  ..........................................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001fa
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dad71
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff814215d2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e85e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bbe91
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eacbc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275dd8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a93b
     0.00%  benchmark-blas  ld-2.31.so                [.] _dl_fixup
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275631
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db869
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a942
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8111d9e7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81291cc5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110e74b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d443d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8129456e
     0.00%  benchmark-blas  libgomp.so.1.0.0          [.] omp_fulfill_event
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8127916b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff811241b0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81124258
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81253fee
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812757e3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8111dbfc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c233
     0.00%  benchmark-blas  libpthread-2.31.so        [.] __pthread_once
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f33e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817daefd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810e60b1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ea0c1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800002
     0.00%  benchmark-blas  libstdc++.so.6.0.30       [.] std::chrono::_V2::system_clock::now
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f37a
     0.00%  benchmark-blas  libgomp.so.1.0.0          [.] GOMP_single_copy_end
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817daefa
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817ea9e5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bcca7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810e6026
     0.00%  benchmark-blas  ld-2.31.so                [.] memset
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8101cdd6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801460
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812729dd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f2c8
     0.00%  benchmark-blas  libgomp.so.1.0.0          [.] omp_get_thread_num
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800040
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a947
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110b77c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104c84e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ea747
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810e5e6f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa0a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810aa559
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dae01
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db862
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ea0bd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff814215c0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810be60c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810bd5b6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801226
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b2d17
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81259c25
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ad1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800000
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eacbb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818010c3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8101cdf9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81232dce
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810e5ea0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f306
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aef4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180123d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eace4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ea0b5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81120949
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d9027
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c1f7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81121583
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bfcee
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d9012
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b7a7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812aafc6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801463
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8112158f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818012e0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dae12
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81244407
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffffa0615a6b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810dc409
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801262
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8127579d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a885
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812757c5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81279165
